,City,Median_Household_Income,Percent_Male,Percent_Female,Percent_over_25y,Percent_HS_less,Percent_HS,Percent_Some_Col_Assoc,Percent_BS_over,Percent_unemployed,Poverty_Rate,Percent_Owner_Occ,Percent_Renter_Occ,Median_Rent,Population1,"Total
Offenses",Crime Rate
41,Bellmead,51474,23.6,20.3,16.1,27.2,14.3,15.2,15.2,60.2,7.72034142131006,56.4,43.6,939,10589,730,21.05959014071206
42,Bells,75625,12.3,19.5,15.8,30.8,25.3,7.3,7.3,69.2,9.26016658500735,71.6,28.4,848,1557,23,7.064868336544637
43,Bellville,61500,5.9,9.4,9.3,30.4,3.6,14.3,14.3,-,3.296432964329643,65.2,34.8,871,4066,169,14.510575504181013
44,Belton,57025,12.1,23.0,10.8,43.3,9.9,5.7,5.7,39.9,9.5084650401514,49.5,50.5,1159,24188,1583,17.77741028609228
45,Benbrook,80971,6.4,7.5,6.0,10.7,10.9,7.1,7.1,7.8,3.929086786229643,67.9,32.1,1389,24739,836,6.952584987267068
46,Bertram,61688,12.1,18.9,9.3,25.9,7.0,6.5,6.5,0.0,11.885714285714286,79.2,20.8,1366,1913,35,7.3183481442760066
47,Beverly Hills,49597,11.7,18.0,10.3,19.3,9.1,8.0,8.0,65.1,1.837270341207349,64.2,35.8,953,1867,231,28.387787895018747
48,Big Sandy,41250,26.4,37.5,20.1,32.3,20.3,19.7,19.7,42.9,24.05329593267882,42.1,57.9,717,1295,56,12.355212355212355
49,Big Spring,65418,15.0,20.4,16.5,21.9,18.7,17.4,17.4,34.5,8.132107099170934,61.8,38.2,995,25254,1979,27.12441593410945
50,Blanco,59601,6.6,14.6,10.1,3.4,11.1,15.1,15.1,93.3,2.1479713603818613,53.4,46.6,851,1870,95,13.903743315508022
51,Blue Mound,68500,2.6,5.5,4.0,3.3,2.4,7.5,7.5,7.4,1.6800305460099276,81.6,18.4,1361,2325,95,3.010752688172043
52,Boerne,82982,6.9,8.3,6.9,13.7,16.9,7.1,7.1,10.6,5.926297597145565,59.4,40.6,1453,20488,816,7.760640374853573
53,Bogata,34375,17.5,21.1,22.4,28.9,26.1,18.8,18.8,0.0,4.962546816479401,65.3,34.7,755,1098,37,9.107468123861567
54,Borger,54159,9.1,13.2,10.3,14.5,11.1,12.0,12.0,12.3,4.552806081190361,77.3,22.7,868,12366,641,18.761119197800422
55,Bovina,39783,20.3,18.3,19.1,23.8,9.7,24.0,24.0,0.0,4.185351270553064,73.0,27.0,818,1706,12,2.9308323563892147
56,Bowie,60659,16.2,13.4,11.6,47.6,9.9,5.0,5.0,0.0,11.37262285821879,69.3,30.7,1161,5659,234,8.65877363491783
57,Brady,50197,9.7,15.3,13.3,5.0,16.8,21.9,21.9,0.0,4.269889224572005,62.7,37.3,808,4998,157,7.8031212484994
58,Brazoria,38889,24.0,20.6,23.6,42.9,32.5,11.2,11.2,69.4,9.221598877980366,57.5,42.5,926,2823,90,6.376195536663124
59,Breckenridge,38500,12.1,30.2,15.7,9.9,27.1,13.3,13.3,3.6,12.708575863407065,67.9,32.1,665,5294,255,14.922553834529657
60,Bremond,75375,11.0,16.6,16.0,36.0,18.6,6.8,6.8,0.0,7.8597339782345825,60.4,39.6,915,862,18,10.440835266821345
61,Brenham,52664,19.4,17.1,12.0,21.0,18.6,11.5,11.5,53.6,7.0251686559418784,57.2,42.8,1003,18785,1007,14.958743678466863
62,Bridge City,95688,7.5,9.7,8.5,9.9,13.5,9.5,9.5,0.0,3.657118697812071,77.4,22.6,1045,9495,244,6.529752501316482
63,Bridgeport,96231,4.8,6.1,2.5,6.3,5.4,0.9,0.9,0.0,3.111111111111111,65.3,34.7,1136,6186,305,8.567733591981895
64,Brookshire,58712,17.8,25.1,18.8,6.3,27.8,25.5,25.5,7.0,4.9573666468372,68.9,31.1,1216,5739,170,11.84875413835163
65,Brownfield,41228,19.5,32.6,14.9,22.9,16.8,10.2,10.2,46.1,12.367708589712036,64.5,35.5,759,8877,380,17.23555255153768
66,Brownsville,46735,24.0,28.1,21.7,36.2,23.0,13.1,13.1,25.8,10.892387035518537,60.3,39.7,872,188906,10206,19.432945486114786
67,Brownwood,45412,14.3,20.9,15.8,26.9,19.1,10.9,10.9,25.5,8.598130841121495,54.2,45.8,835,18751,1290,19.41229801077276
68,Bruceville-Eddy,68438,13.6,8.8,6.6,5.5,7.8,7.2,7.2,28.9,7.550644567219153,86.1,13.9,1118,1428,60,6.302521008403361
69,Buda,105378,7.3,8.4,8.3,34.5,5.5,13.7,13.7,43.6,3.093952123758085,72.4,27.6,1648,16000,703,6.25
70,Buffalo,57813,13.4,16.9,13.0,29.8,7.2,10.6,10.6,0.0,8.90710382513661,54.8,45.2,934,1812,53,5.518763796909493
71,Bullard,104141,11.8,7.5,7.6,28.6,10.8,8.8,8.8,45.2,3.7223621606493142,78.6,21.4,1500,4062,77,3.9389463318562288
72,Bulverde,107315,3.6,8.0,4.2,13.2,6.7,4.0,4.0,0.0,2.6492344744538108,92.1,7.9,1374,6268,646,7.657945118059987
73,Burkburnett,62143,7.7,10.4,7.1,21.0,11.0,2.9,2.9,20.9,5.310547592796766,63.2,36.8,875,11057,187,6.692592927557204
74,Burleson,87312,6.0,8.5,5.7,17.6,9.2,4.4,4.4,31.9,2.7466000327707683,69.9,30.1,1571,55356,2040,10.495700556398583
75,Burnet,77376,7.6,5.4,5.5,40.3,2.0,6.9,6.9,41.8,4.197488388095648,78.5,21.5,997,6861,427,12.09736190059758
76,Cactus,49605,9.0,16.9,11.3,12.7,7.2,8.0,8.0,0.0,3.558484349258649,40.8,59.2,699,3058,180,19.62066710268149
