,City,Median_Household_Income,Percent_Male,Percent_Female,Percent_over_25y,Percent_HS_less,Percent_HS,Percent_Some_Col_Assoc,Percent_BS_over,Percent_unemployed,Poverty_Rate,Percent_Owner_Occ,Percent_Renter_Occ,Median_Rent,Population1,"Total
Offenses",Crime Rate
178,Forney,102107,5.6,8.0,6.1,15.8,10.9,5.1,5.1,2.1,2.2071104748270103,73.0,27.0,1466,31105,951,5.593955955634143
179,Fort Stockton,65657,28.7,28.2,19.5,43.6,20.9,10.9,10.9,27.1,14.250422571837213,65.7,34.3,872,8411,131,8.322434906669837
180,Fort Worth,72726,11.8,14.9,10.4,19.5,14.3,9.1,9.1,26.9,6.171257269726285,56.7,43.3,1313,948605,52914,14.34949214899774
181,Franklin,49063,13.9,23.1,14.0,43.3,16.0,11.6,11.6,0.0,4.88599348534202,53.1,46.9,773,1781,34,5.614823133071308
182,Frankston,56957,9.3,9.7,7.5,23.3,3.6,9.3,9.3,5.9,3.694779116465864,66.6,33.4,1023,1117,188,21.486123545210386
183,Fredericksburg,56858,10.6,12.0,10.0,32.1,12.9,8.0,8.0,61.1,3.935682901748154,57.3,42.7,1296,11348,346,8.724004229820233
184,Freeport,50704,17.7,18.5,15.6,22.2,17.7,10.0,10.0,45.9,10.080193957478553,58.0,42.0,1043,10500,454,14.476190476190476
185,Freer,64438,9.8,15.8,8.9,24.9,7.9,4.6,4.6,1.3,7.890800299177263,66.7,33.3,938,2454,42,11.409942950285249
186,Friendswood,121301,2.5,3.3,2.8,7.3,5.9,2.0,2.0,10.7,1.8121829910868177,76.8,23.2,1636,40851,1110,5.165112237154537
187,Friona,67837,6.4,14.2,7.7,18.9,5.5,0.0,0.0,31.5,1.7971442639094042,75.5,24.5,786,4121,58,5.338510070371269
188,Frisco,144567,3.0,3.2,3.2,7.7,5.4,5.4,5.4,13.5,1.5979660444629833,67.2,32.8,1803,218962,7099,6.133484348882455
189,Fulshear,170602,0.7,2.1,2.0,0.0,8.4,2.4,2.4,11.8,0.6097560975609756,94.0,6.0,1745,18058,303,2.215084726990807
190,Gainesville,49170,20.4,23.1,18.0,26.4,25.2,11.2,11.2,53.5,6.85724410844014,49.6,50.4,1037,17789,1411,14.671988307380966
191,Galena Park,45614,27.4,33.7,20.4,22.4,21.9,14.4,14.4,36.6,14.343009931245229,68.0,32.0,1163,10240,388,10.64453125
192,Galveston,57453,18.9,19.6,14.9,26.5,18.1,15.1,15.1,35.3,10.367461995368972,46.3,53.7,1200,52920,3887,21.957671957671955
193,Ganado,55938,7.4,15.6,7.7,13.1,2.6,10.0,10.0,-,6.581272084805653,50.2,49.8,840,1998,40,3.003003003003003
194,Garden Ridge,156711,0.0,1.0,0.6,23.8,0.6,0.0,0.0,0.0,0.0964785335262904,95.5,4.5,-,4442,164,2.7014858171994596
195,Garland,71044,11.4,12.1,9.1,15.0,9.7,7.3,7.3,20.3,5.0738147860050296,62.0,38.0,1421,241095,13710,14.098177067131214
196,Garrison,40147,17.0,22.3,19.8,62.8,23.2,4.8,4.8,47.2,7.207207207207207,59.6,40.4,810,791,15,7.585335018963337
197,Gatesville,46536,12.1,11.0,10.7,32.9,12.7,5.6,5.6,21.5,5.191808479953851,57.3,42.7,937,17154,429,8.277952664101667
198,Georgetown,87465,6.7,7.5,5.9,19.1,11.5,5.1,5.1,13.3,2.627772765677135,71.6,28.4,1575,83371,2689,7.208741648774754
199,George West,46705,17.9,32.7,21.7,33.3,16.2,7.7,7.7,27.3,7.077276205049731,63.1,36.9,823,2194,101,9.115770282588878
200,Giddings,63529,18.6,24.5,14.9,48.9,10.4,7.9,7.9,0.0,4.158131913150348,61.3,38.7,1139,5144,294,16.1353032659409
201,Gilmer,43894,13.7,24.2,14.3,49.1,3.9,15.3,15.3,19.5,9.136612021857925,55.8,44.2,848,4997,398,20.812487492495496
202,Gladewater,47749,21.5,39.3,18.4,20.8,26.5,13.6,13.6,7.4,13.95072217502124,56.2,43.8,808,6174,156,7.288629737609329
203,Glenn Heights,87686,9.9,10.5,11.0,23.3,15.9,10.3,10.3,6.9,3.620763098642975,86.0,14.0,1304,18398,618,10.00108707468203
204,Godley,56792,20.1,16.7,22.1,37.7,27.0,21.7,21.7,48.2,12.661064425770308,81.1,18.9,1171,2245,65,7.57238307349666
205,Gonzales,58542,13.0,22.2,16.5,24.3,17.0,11.8,11.8,0.0,6.064534716220109,51.8,48.2,916,7089,529,18.479334179715053
206,Graham,63361,14.9,19.9,10.1,11.1,13.6,11.3,11.3,18.2,3.692883019749913,63.4,36.6,898,8823,439,11.334013374135782
207,Granbury,65015,11.0,11.1,6.0,16.5,9.5,3.5,3.5,81.3,2.5031169080272373,58.3,41.7,1218,12132,1003,16.485328058028355
208,Grand Prairie,76626,9.7,13.1,8.8,18.5,9.5,5.8,5.8,28.2,4.831891091677731,59.2,40.8,1381,199663,9253,7.783114548013403
209,Grand Saline,37823,19.7,25.6,21.7,38.3,17.5,11.9,11.9,44.0,10.114305507447176,67.4,32.6,828,3236,69,5.562422744128554
210,Grapeland,44205,14.7,15.2,14.6,36.6,12.5,16.8,16.8,20.2,10.217391304347826,50.8,49.2,863,1504,18,6.648936170212766
211,Grapevine,107165,5.9,5.5,5.4,21.3,11.0,4.1,4.1,3.2,2.748385051321682,53.1,46.9,1750,50988,2691,9.845453832274261
212,Greenville,60510,12.1,14.3,12.1,22.1,15.7,6.1,6.1,24.2,5.711955750957311,50.0,50.0,1173,30890,1232,12.23696989316931
213,Groesbeck,47500,14.3,11.4,12.2,6.5,18.8,11.2,11.2,85.7,6.905910735826297,57.3,42.7,771,3638,225,19.24134139637163
214,Groves,64737,9.7,11.8,8.4,27.6,5.4,7.0,7.0,17.5,6.304541406945681,73.8,26.2,1210,16682,565,10.13067977460736
215,Gun Barrel City,63938,14.3,19.7,12.5,11.5,17.3,13.7,13.7,41.7,10.260925244117177,87.9,12.1,907,6551,112,3.2056174629827505
216,Gunter,106700,2.8,7.3,6.1,9.0,5.7,7.2,7.2,14.3,2.369460289600702,72.0,28.0,1375,2449,27,0.8166598611678236
217,Hallettsville,47090,24.4,19.3,17.6,38.5,24.7,12.5,12.5,45.0,7.062600321027287,55.6,44.4,816,2762,166,15.930485155684286
218,Hallsville,86757,0.6,0.8,1.1,7.8,5.0,0.0,0.0,0.0,0.0,56.0,44.0,1135,4707,47,3.3991926917357125
219,Haltom City,57649,10.6,17.0,9.2,12.0,9.7,7.7,7.7,10.5,6.023567619758179,52.3,47.7,1239,45488,1148,5.495954977136827
220,Hamilton,46538,15.6,14.5,16.7,28.8,22.1,9.9,9.9,0.0,4.890510948905109,79.7,20.3,839,2860,105,10.48951048951049
221,Hamlin,53750,12.2,9.6,13.7,44.0,18.3,1.1,1.1,0.0,2.447381302006853,66.9,33.1,865,1899,74,12.111637704054766
222,Harker Heights,72258,10.9,12.8,9.6,23.6,9.2,11.5,11.5,11.7,4.014319370926781,56.1,43.9,1063,34001,1026,7.999764712802564
223,Harlingen,50367,23.3,28.6,18.1,34.9,19.3,14.0,14.0,18.6,10.43757243406733,57.2,42.8,867,72047,5091,18.571210459838717
224,Haskell,59333,11.8,15.0,13.3,19.4,13.8,23.1,23.1,40.0,6.138392857142857,61.0,39.0,788,3033,42,3.297065611605671
225,Hawkins,66310,14.2,12.9,15.1,48.7,17.4,7.2,7.2,21.0,3.690888119953864,72.5,27.5,926,1353,38,11.086474501108649
226,Hawley,56250,7.3,9.2,10.3,60.7,3.9,11.9,11.9,0.0,3.941908713692946,85.6,14.4,903,575,3,3.4782608695652177
227,Hearne,32402,29.2,26.7,23.5,15.3,29.3,29.6,29.6,20.5,12.417145382235969,60.3,39.7,610,4517,140,13.504538410449413
228,Heath,211522,1.6,3.1,0.8,0.0,0.0,2.5,2.5,0.0,0.4196090471804319,95.9,4.1,1886,10661,242,6.565988181221274
229,Hedwig Village,202500,3.5,6.8,6.1,0.0,8.7,5.3,5.3,0.0,2.1551724137931036,72.5,27.5,1359,2295,230,6.5359477124183005
230,Helotes,124367,2.8,3.2,3.6,5.1,5.3,4.4,4.4,0.0,1.797926318111626,94.4,5.6,2462,9263,355,3.2386915686062827
231,Hempstead,54066,2.9,13.7,11.4,20.4,7.7,16.1,16.1,0.0,2.6447462473195142,27.0,73.0,1069,6388,301,12.680025046963056
232,Hereford,51164,13.5,16.4,12.5,22.2,11.7,6.7,6.7,2.2,8.460121443678787,62.4,37.6,845,14626,688,12.170108026801586
233,Hewitt,75898,6.2,8.1,4.5,3.5,6.0,5.0,5.0,11.3,4.225352112676056,66.4,33.6,1308,16291,727,10.43520962494629
234,Hickory Creek,138584,1.2,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,75.5,24.5,2157,5786,205,3.629450397511234
235,Hico,44191,4.7,11.3,11.2,55.7,14.4,0.6,0.6,0.0,2.6599113362887903,76.6,23.4,900,1360,0,0.0
236,Hidalgo,45919,27.1,26.7,24.6,43.5,12.0,17.3,17.3,32.2,6.083487676307167,75.6,24.4,832,14468,402,7.672103953552668
237,Highland Park,249923,3.1,8.7,6.6,18.2,13.8,12.4,12.4,17.8,4.98868778280543,87.3,12.7,2673,8732,316,2.2904260192395784
238,Highland Village,162879,0.9,2.8,1.5,13.2,2.0,1.3,1.3,0.0,1.2987012987012987,93.2,6.8,2253,15988,419,6.5048786589942456
239,Hill Country Village,244000,3.8,2.1,3.2,76.9,0.0,3.0,3.0,0.0,3.0,99.2,0.8,-,939,59,2.1299254526091587
240,Hillsboro,53021,12.4,20.0,13.9,22.3,17.9,11.3,11.3,31.3,8.221498371335505,50.8,49.2,911,8407,397,13.798025454977994
241,Hitchcock,75741,13.9,17.1,13.1,19.8,15.5,10.0,10.0,38.0,6.799134901324683,72.4,27.6,1226,7502,503,24.526792855238604
242,Hollywood Park,137411,0.7,3.1,1.9,0.0,5.9,3.9,3.9,-,0.8325328210054436,92.6,7.4,2683,3091,164,3.2351989647363313
243,Hondo,57819,12.2,24.6,16.4,16.0,17.3,23.7,23.7,0.0,9.967396367023754,64.0,36.0,1127,8522,475,14.902605022295235
244,Honey Grove,43810,11.3,17.5,15.2,24.3,20.9,4.7,4.7,21.2,5.282051282051282,59.1,40.9,555,1789,47,9.502515371716044
245,Hooks,52031,6.5,13.9,8.4,9.5,16.4,3.1,3.1,0.0,1.0477787091366304,68.2,31.8,899,2510,78,8.366533864541832
246,Horizon City,61194,19.5,21.0,18.4,9.8,21.0,21.4,21.4,35.5,3.918001508630253,85.5,14.5,1067,23726,605,7.08083958526511
247,Horseshoe Bay,85197,5.2,6.0,6.4,0.0,2.4,9.5,9.5,78.1,2.026143790849673,86.6,13.4,1621,4693,129,5.96633283613893
248,Houston,60440,17.5,21.6,15.1,26.0,19.5,14.6,14.6,32.8,9.176885962041016,42.0,58.0,1235,2276533,228657,29.610376831787637
249,Howe,59375,23.4,30.7,17.6,35.8,20.7,12.6,12.6,50.0,14.309859154929578,53.0,47.0,1022,3659,111,8.745558895873188
250,Hudson Oaks,125795,2.8,3.4,3.5,6.0,10.6,2.0,2.0,0.0,1.0851419031719534,90.3,9.7,1078,2547,145,8.637612877895563
251,Hughes Springs,53551,19.8,23.7,19.5,23.6,14.6,30.1,30.1,62.5,15.731070496083552,62.6,37.4,817,1542,5,1.297016861219196
252,Humble,58581,12.1,22.0,14.2,5.7,20.3,16.2,16.2,11.1,3.6378234821814592,36.7,63.3,1123,16085,3115,28.535903015231582
253,Huntington,46809,9.0,14.0,12.0,27.4,11.8,9.2,9.2,0.0,4.838709677419355,42.5,57.5,826,2020,48,8.91089108910891
254,Huntsville,37419,20.7,33.6,11.7,20.2,16.8,9.7,9.7,43.2,19.51767654939926,36.5,63.5,970,46780,2239,13.595553655408294
255,Hurst,71275,10.8,10.8,7.7,20.4,7.3,6.5,6.5,18.4,5.159989921894684,58.8,41.2,1246,39796,2204,11.961001105638758
256,Hutchins,39929,18.6,32.1,17.1,11.9,26.1,13.6,13.6,0.0,8.679411118435508,47.6,52.4,1440,5594,587,21.272792277440114
257,Hutto,105743,8.0,7.6,6.7,11.9,8.8,6.4,6.4,11.5,4.312843067062152,82.7,17.3,2103,33891,744,6.373373461981057
258,Idalou,62200,12.0,11.0,12.9,19.6,12.7,12.5,12.5,25.9,5.834464043419267,66.9,33.1,764,2118,43,4.721435316336166
259,Ingleside,73191,4.1,11.6,6.3,5.9,5.6,6.8,6.8,39.0,3.8914971309337503,66.9,33.1,1275,10207,568,17.341040462427745
260,Ingram,46051,15.1,18.7,16.3,41.1,8.9,9.8,9.8,0.0,12.662662662662663,59.4,40.6,971,1834,100,15.267175572519083
261,Iowa Park,61667,4.6,8.5,5.8,22.8,2.6,6.9,6.9,22.7,4.405149682022646,82.8,17.2,949,6595,99,3.790750568612585
262,Irving,76686,9.3,11.8,8.3,13.0,11.4,8.6,8.6,24.4,4.440126228815401,37.2,62.8,1423,254141,18366,16.431823279203275
263,Italy,55650,9.3,7.7,8.4,14.5,4.4,9.7,9.7,0.0,5.390254420008624,63.1,36.9,1241,2038,52,4.416094210009814
264,Itasca,58098,5.5,10.5,7.5,15.2,12.2,1.2,1.2,100.0,1.5274949083503055,73.7,26.3,783,1682,10,1.7835909631391202
265,Jacinto City,58333,10.7,18.9,15.0,23.2,9.7,14.3,14.3,60.4,7.169930511686672,68.0,32.0,1116,9190,556,9.031556039173013
266,Jacksboro,38774,25.8,26.7,20.7,32.3,21.4,16.0,16.0,59.7,11.52638190954774,64.8,35.2,775,4292,143,8.387698042870456
267,Jacksonville,49750,23.4,23.9,18.7,30.8,22.2,14.4,14.4,31.1,7.902532958080284,59.3,40.7,835,14196,1202,22.11890673429135
268,Jamaica Beach,86923,7.5,10.8,7.0,0.0,19.8,11.0,11.0,0.0,1.6319129646418855,88.2,11.8,1510,1065,17,2.8169014084507045
269,Jarrell,103017,1.7,1.7,1.8,4.3,1.2,2.5,2.5,5.0,1.0803193987787694,87.9,12.1,1661,2469,69,8.910490076954233
270,Jasper,38796,31.1,31.1,24.5,60.5,29.4,13.6,13.6,68.6,13.262910798122066,63.3,36.7,820,7706,612,22.96911497534389
271,Jefferson,47524,20.7,19.3,16.4,55.1,21.8,5.8,5.8,17.0,13.221884498480245,51.7,48.3,828,1830,57,10.382513661202186
272,Jersey Village,88101,6.2,7.3,6.5,7.1,16.7,8.1,8.1,0.6,3.858226523672509,53.8,46.2,1335,7575,756,9.768976897689768
273,Jonestown,112841,7.2,7.0,4.8,0.0,4.5,4.3,4.3,44.9,2.7557411273486427,90.0,10.0,1188,2506,117,13.966480446927374
274,Josephine,80648,10.0,11.0,8.5,14.2,14.5,2.4,2.4,38.9,1.715756362596511,92.3,7.7,1347,4711,71,5.943536404160475
275,Joshua,66183,11.3,15.3,12.4,39.8,15.0,3.1,3.1,0.0,7.024586051179127,57.2,42.8,1133,8256,349,6.1773255813953485
276,Jourdanton,74185,6.5,13.2,12.4,36.7,4.9,17.9,17.9,0.0,1.3664596273291925,61.0,39.0,969,4179,138,10.528834649437664
277,Junction,55110,13.6,17.2,15.6,24.8,24.9,12.2,12.2,50.0,5.621181262729124,67.5,32.5,700,2536,27,5.126182965299685
278,Karnes City,57311,27.2,27.7,21.9,42.1,27.1,3.7,3.7,30.8,13.291746641074855,71.1,28.9,836,3271,128,5.502904310608377
279,Katy,114917,2.3,4.7,3.4,18.1,6.7,2.8,2.8,13.9,1.2002303024934673,79.4,20.6,1444,25511,1888,10.975657559484144
280,Kaufman,55349,16.6,19.4,14.8,34.9,7.9,11.0,11.0,36.9,10.952040085898354,40.8,59.2,1166,7829,374,8.557925661003958
281,Keene,53701,9.3,15.0,10.6,19.9,9.4,7.7,7.7,44.3,9.435238417314846,48.9,51.1,961,6355,220,14.162077104642014
282,Keller,162094,2.6,3.6,2.8,27.0,5.1,2.5,2.5,5.9,1.4652504063954397,82.9,17.1,1850,45080,1011,5.0354924578527065
283,Kemah,93021,12.9,25.8,11.5,29.0,10.5,10.1,10.1,22.4,6.99228791773779,70.5,29.5,1713,1794,188,30.100334448160535
284,Kemp,55650,16.9,15.4,14.9,25.7,18.0,9.2,9.2,59.3,4.01854714064915,63.2,36.8,1070,1237,59,13.7429264349232
285,Kempner,67204,8.8,6.1,5.5,0.0,10.8,2.2,2.2,13.3,0.8935219657483247,73.8,26.2,913,1211,3,1.6515276630883566
286,Kenedy,-,16.5,42.3,17.4,44.6,21.6,9.5,9.5,0.0,27.42739806394837,49.7,50.3,1040,3589,185,10.309278350515465
287,Kennedale,112646,4.5,8.5,5.9,10.1,8.8,4.4,4.4,0.0,3.1623330990864367,71.1,28.9,1141,8417,350,10.573838659855054
288,Kerens,44444,16.8,18.7,14.0,16.9,15.9,18.4,18.4,30.7,9.608158883521202,55.3,44.7,649,1518,41,9.22266139657444
289,Kermit,84931,13.0,14.5,10.7,23.6,5.3,2.2,2.2,10.1,4.211229946524064,81.4,18.6,919,5749,59,3.652809184205949
290,Kerrville,58797,15.0,15.5,11.5,31.7,15.1,9.1,9.1,32.7,5.4952272528242405,58.7,41.3,1027,24696,948,13.969873663751214
291,Kilgore,58439,13.4,19.5,14.2,36.9,14.4,7.0,7.0,45.4,5.715408805031447,71.3,28.7,962,13419,1459,19.599075937104107
292,Killeen,57086,14.0,18.0,13.2,30.2,15.6,11.8,11.8,29.9,8.027251765289925,46.3,53.7,1084,159546,9539,18.68426660649593
293,Kingsville,50963,29.4,37.1,21.5,29.1,24.8,21.5,21.5,52.3,18.83449883449883,46.5,53.5,973,24802,1922,21.893395693895652
294,Kirby,58880,10.4,16.3,13.3,23.2,11.7,10.8,10.8,11.7,1.6734342315737665,70.3,29.7,1061,8069,498,17.10249101499566
295,Knox City,37368,10.2,15.8,10.6,21.7,11.6,6.3,6.3,75.0,6.302021403091558,79.7,20.3,577,1047,47,7.640878701050621
296,Kountze,52226,14.0,17.8,10.9,32.4,10.4,5.5,5.5,60.5,5.223123732251522,65.9,34.1,812,2371,36,2.9523407844791225
297,Kyle,85199,6.8,7.7,5.9,8.7,7.7,4.6,4.6,36.8,2.307434133243833,66.7,33.3,1572,57724,2413,11.884138313353198
298,Lacy-Lakeview,46311,14.2,18.7,13.5,27.2,10.9,13.3,13.3,13.9,12.216941571149007,44.8,55.2,811,7143,498,19.179616407671848
299,La Feria,38656,35.4,28.1,26.2,45.0,33.3,17.5,17.5,84.4,10.61623831775701,68.7,31.3,862,6791,373,15.461640406420262
300,Lago Vista,108823,3.6,3.9,4.1,1.6,8.8,1.2,1.2,20.0,3.143528358876832,86.9,13.1,1063,9637,208,8.820172252775759
301,La Grange,53191,14.1,16.7,16.5,11.8,21.5,24.5,24.5,43.1,7.806004618937644,59.3,40.7,696,4455,235,18.40628507295174
302,La Grulla,38611,20.8,29.2,26.4,35.4,22.4,18.6,18.6,0.0,10.10909090909091,79.9,20.1,783,1208,27,11.589403973509935
303,Laguna Vista,60833,14.7,23.5,17.4,50.0,35.9,6.0,6.0,0.0,6.976090014064698,86.5,13.5,-,3673,53,3.267084127416281
304,La Joya,51412,25.8,24.0,21.4,29.9,30.6,13.0,13.0,28.3,10.143646408839778,62.1,37.9,638,4666,120,6.858122588941277
305,Lake Dallas,72386,3.2,3.1,3.7,1.4,3.5,8.2,8.2,16.0,2.1818656911418866,72.5,27.5,1319,7738,162,6.073920909795812
306,Lake Jackson,89215,9.0,11.2,7.5,16.4,10.6,7.2,7.2,28.2,2.627222342186713,63.1,36.9,1401,27595,1284,18.300416742163435
307,Lakeport,61607,14.5,18.9,10.2,3.1,9.6,11.5,11.5,0.0,13.855970829535098,79.9,20.1,1128,970,2,0.0
308,Lakeway,154118,2.0,3.9,3.3,18.6,4.7,2.4,2.4,0.0,1.746514981573466,83.8,16.2,2563,19267,528,3.477448487050397
309,Lake Worth,82114,11.4,14.3,7.8,21.5,10.2,2.4,2.4,23.4,3.78234903782349,76.3,23.7,1269,4652,628,21.066208082545142
310,La Marque,61403,14.9,19.8,16.2,24.4,23.4,11.9,11.9,29.1,8.380101345829019,74.4,25.6,1125,19068,1620,28.477029578351164
311,Lamesa,39434,26.9,29.7,22.2,41.3,16.7,13.4,13.4,51.2,13.271423533560595,69.4,30.6,817,8726,662,22.920009168003666
312,Lampasas,57270,9.7,17.5,13.7,23.2,15.2,10.2,10.2,16.5,3.325448726867956,63.1,36.9,832,7737,649,24.169574770582912
313,Lancaster,65323,13.4,15.8,11.7,30.0,15.1,8.5,8.5,21.6,6.688946651813343,64.1,35.9,1488,40615,2546,16.914932906561614
314,La Porte,79193,10.5,13.5,10.5,16.5,15.0,6.1,6.1,30.7,5.679171693930806,71.9,28.1,1263,36646,1833,14.435409048736561
315,Laredo,60928,18.9,23.0,16.8,29.1,17.3,11.3,11.3,28.2,8.295316603327489,62.7,37.3,968,256973,9914,13.46055811310916
316,La Vernia,74167,5.1,24.8,15.3,12.5,12.9,16.7,16.7,16.0,10.87719298245614,52.5,47.5,870,1224,121,13.071895424836601
317,Lavon,122889,3.7,1.0,2.0,0.0,2.9,2.5,2.5,0.0,1.3631522896698616,88.5,11.5,1781,6277,83,2.867611916520631
318,League City,117316,4.0,5.7,4.6,15.5,9.3,4.7,4.7,10.0,2.344560849470855,73.5,26.5,1598,116511,4196,8.96911021276961
319,Leonard,52346,17.2,17.8,14.9,28.7,14.4,12.1,12.1,26.0,9.337721102426984,60.4,39.6,1004,2085,18,4.796163069544364
320,Leon Valley,58784,7.7,14.5,12.5,23.6,17.3,10.6,10.6,29.8,5.857519788918205,55.8,44.2,1109,11402,1532,24.907910892825818
321,Levelland,50707,13.9,21.0,13.6,36.1,10.2,6.9,6.9,16.3,8.581995461040599,69.4,30.6,713,12579,786,17.171476269973766
322,Lewisville,82006,8.1,9.6,7.0,13.9,9.8,6.2,6.2,16.9,3.741304907896432,45.2,54.8,1455,113568,6651,14.044449140602987
323,Lexington,60227,8.5,9.3,7.4,12.1,11.1,3.4,3.4,20.0,6.230769230769231,60.2,39.8,1091,1246,5,2.407704654895666
324,Liberty,57962,11.8,21.3,11.3,20.7,6.5,10.2,10.2,0.0,6.305494788315532,70.9,29.1,972,8790,391,10.921501706484642
325,Liberty Hill,93198,4.0,13.2,9.6,5.9,3.8,13.6,13.6,38.9,5.242642759695966,59.5,40.5,1464,6909,193,8.394847300622377
326,Lindale,79557,18.7,10.8,9.3,27.3,9.8,7.4,7.4,100.0,6.666666666666667,73.4,26.6,1019,6509,204,4.916269780304194
327,Linden,42750,31.8,29.3,22.8,46.1,19.8,26.9,26.9,37.3,14.177693761814744,60.9,39.1,637,1788,25,6.152125279642059
328,Little Elm,110218,9.8,7.0,6.4,7.0,11.8,8.0,8.0,12.8,4.118917123401428,67.8,32.2,1916,55340,1154,7.372605710155403
329,Littlefield,48962,10.9,24.1,17.3,35.1,15.0,11.1,11.1,31.1,8.902939166097061,67.6,32.4,813,5814,238,8.771929824561402
330,Live Oak,74326,9.1,9.4,6.2,10.0,7.3,7.0,7.0,34.1,4.788929983420482,57.5,42.5,1362,15884,1460,12.339461092923695
331,Livingston,47952,17.5,25.6,15.9,14.1,17.0,20.1,20.1,19.8,12.875138940348275,51.9,48.1,1023,5937,811,34.02391780360452
332,Llano,46404,13.2,16.1,13.5,35.3,12.3,14.6,14.6,18.2,5.10519801980198,56.4,43.6,995,3406,92,8.220786846741044
333,Lockhart,68270,9.4,15.7,10.7,23.7,10.4,7.9,7.9,0.0,5.1671494558835045,61.6,38.4,1122,15068,468,9.291213166976373
334,Lockney,52500,18.0,14.5,15.1,36.8,9.4,0.0,0.0,42.9,10.0,79.4,20.6,902,1474,37,12.211668928086839
335,Log Cabin,58750,9.1,21.7,16.4,36.6,6.4,22.2,22.2,100.0,3.5634743875278394,86.5,13.5,911,820,6,1.2195121951219512
336,Lone Star,41806,13.9,17.8,10.6,5.1,6.0,22.8,22.8,24.0,4.658197217180883,48.5,51.5,850,1412,29,11.3314447592068
337,Longview,61003,15.0,19.1,13.7,30.5,15.6,13.1,13.1,26.2,6.836623777143001,53.4,46.6,1000,81811,5904,16.92926379093276
338,Lorena,90982,2.0,4.8,4.4,0.0,3.7,5.1,5.1,0.0,1.0340632603406326,77.1,22.9,1350,1787,86,17.347509792949076
339,Los Fresnos,39536,36.0,33.2,28.5,34.4,46.7,20.8,20.8,37.7,15.681902638424376,66.6,33.4,808,8164,327,6.736893679568839
340,Lubbock,58734,18.3,20.1,12.0,31.5,14.2,10.7,10.7,37.4,10.058991791389468,51.0,49.0,1093,264142,29849,31.854078488085953
341,Lufkin,57938,16.6,19.2,14.6,26.2,15.9,15.5,15.5,28.6,6.7991758574718215,53.1,46.9,962,34063,3164,19.55200657605026
342,Luling,59773,11.0,10.9,11.0,10.8,4.2,26.6,26.6,16.5,7.889733840304182,66.8,33.2,1015,5511,237,11.068771547813464
343,Lumberton,99066,3.0,8.4,6.4,33.3,6.6,5.2,5.2,11.1,3.5367390820790394,86.2,13.8,990,14004,449,9.497286489574408
344,Lytle,51875,14.4,11.4,10.8,10.1,18.6,2.8,2.8,73.8,4.781609195402299,67.8,32.2,869,3037,267,5.597629239380968
345,McAllen,56326,18.7,23.2,17.2,36.0,19.3,13.5,13.5,31.3,8.26825355317931,59.4,40.6,955,145510,8679,18.899044739193183
346,McKinney,113286,5.6,6.7,5.2,15.1,11.2,4.7,4.7,16.1,2.827913209297531,64.9,35.1,1740,208415,5150,6.189573687114651
347,Madisonville,62135,9.6,16.2,13.0,24.2,13.0,1.6,1.6,0.0,3.091832025842178,58.9,41.1,795,4670,173,10.70663811563169
348,Magnolia,59922,4.2,8.9,8.1,0.8,15.2,8.8,8.8,30.8,4.354469060351414,55.7,44.3,968,2906,215,7.226428079834824
349,Manor,96657,5.7,5.4,4.6,12.6,2.5,4.4,4.4,22.0,3.0263330276431284,85.1,14.9,1611,23497,605,5.915648806230582
350,Mansfield,112465,4.1,6.4,4.2,14.0,5.2,4.7,4.7,10.9,2.269837146021632,75.5,24.5,1670,75993,2079,4.474096298343269
351,Manvel,105188,5.8,4.1,4.7,4.9,8.5,4.5,4.5,0.0,1.6323253947016323,82.4,17.6,1631,14821,351,6.004992915457796
352,Marble Falls,53789,7.4,11.4,8.6,18.9,14.1,9.7,9.7,54.1,3.3695031410622502,47.4,52.6,1283,7408,697,24.43304535637149
353,Marfa,30669,23.2,26.5,17.1,15.3,9.3,2.6,2.6,-,1.357677902621723,76.3,23.7,-,1749,15,2.287021154945683
354,Marlin,31240,28.0,14.4,20.5,47.6,28.5,7.4,7.4,33.4,7.620431893687709,70.4,29.6,520,5631,204,8.701829160007104
355,Marshall,49162,19.3,25.9,16.7,38.9,19.9,14.0,14.0,24.4,13.88736514902176,57.8,42.2,866,22628,1071,13.346296623652114
356,Mathis,37620,21.2,30.2,21.5,27.7,17.1,16.9,16.9,14.5,7.1866568555310275,62.7,37.3,489,4379,263,10.276318794245261
357,Maud,55667,12.9,29.7,19.6,85.2,29.0,10.2,10.2,57.1,10.11433597185576,62.5,37.5,838,969,23,6.191950464396285
358,Maypearl,77727,0.4,1.2,1.2,0.0,0.0,2.7,2.7,0.0,0.0,50.0,50.0,1537,945,15,3.1746031746031744
359,Meadows Place,78396,3.6,8.4,6.5,13.4,15.0,1.9,1.9,47.4,2.3521932612841705,79.1,20.9,1253,4591,195,3.7028969723371814
360,Melissa,138465,3.8,1.6,3.1,27.1,7.9,2.8,2.8,0.0,1.1545526108632904,89.9,10.1,2269,20071,336,2.5908026505904043
361,Memphis,43901,15.4,24.3,15.8,27.7,21.3,9.2,9.2,6.0,9.143407122232915,68.2,31.8,544,2086,20,3.3557046979865772
362,Mercedes,43243,27.0,31.4,21.9,39.8,14.7,19.0,19.0,42.5,14.804623004953218,68.0,32.0,625,16365,1397,31.102963641918727
