,City,Median_Household_Income,Percent_Male,Percent_Female,Percent_over_25y,Percent_HS_less,Percent_HS,Percent_Some_Col_Assoc,Percent_BS_over,Percent_unemployed,Population,Population_Below_Poverty,Poverty_Rate,Percent_Owner_Occ,Percent_Renter_Occ,Median_Rent
1085,Taylor Lake Village ,150479,0.0,1.8,1.2,0.0,3.9,0.0,0.0,0.0,3677,19,0.5167255915148219,92.5,7.5,-
1086,Taylor Landing ,125000,0.0,3.2,2.5,0.0,0.0,2.6,2.6,0.0,281,1,0.3558718861209964,96.9,3.1,-
1087,Teague ,63640,18.2,13.0,19.4,15.4,40.5,12.1,12.1,33.3,3376,329,9.745260663507109,78.7,21.3,631
1088,Tehuacana ,63750,30.6,18.5,22.3,0.0,30.4,24.6,24.6,-,202,29,14.356435643564355,72.9,27.1,-
1089,Temple ,61003,14.0,19.8,12.8,29.0,18.7,10.1,10.1,23.7,81853,6207,7.583106300318865,52.8,47.2,1088
1090,Tenaha ,24702,27.5,49.2,39.5,62.3,45.7,7.1,7.1,-,1075,217,20.186046511627907,50.7,49.3,488
1091,Terrell ,61513,15.1,19.9,14.7,31.7,15.5,8.3,8.3,16.5,17462,1720,9.849959912953842,57.9,42.1,1140
1092,Terrell Hills ,199643,8.9,4.6,6.7,85.9,0.0,12.9,12.9,84.2,5045,80,1.5857284440039643,79.4,20.6,1100
1093,Texarkana ,48054,21.2,22.8,19.8,42.6,26.0,18.4,18.4,44.7,34521,3818,11.059934532603343,50.7,49.3,913
1094,Texas City ,61359,13.8,16.9,13.6,20.8,16.4,12.5,12.5,35.0,51867,3285,6.3335068540690616,55.4,44.6,1137
1095,Texhoma ,97361,1.7,9.4,3.8,10.5,2.2,4.5,4.5,-,463,16,3.455723542116631,71.8,28.2,962
1096,Texline ,47083,2.8,11.3,4.9,2.4,8.6,4.1,4.1,10.0,485,8,1.6494845360824744,54.0,46.0,675
1097,The Colony ,106518,6.6,7.2,5.3,10.1,10.0,4.1,4.1,25.1,44283,1886,4.2589707111081,60.5,39.5,1739
1098,"The Hills village, Texas",152250,2.5,3.3,2.6,0.0,6.3,0.0,0.0,0.0,2500,32,1.28,96.2,3.8,"3,500+"
1099,Thompsons ,59063,0.8,1.3,1.4,0.0,2.1,1.0,1.0,100.0,283,3,1.0600706713780919,89.9,10.1,1153
1100,Thorndale ,63581,3.8,5.2,5.5,8.1,0.0,10.1,10.1,62.5,1415,9,0.6360424028268552,69.3,30.7,920
1101,Thornton ,50132,15.8,20.9,21.3,50.0,26.0,9.6,9.6,51.7,475,35,7.368421052631578,81.3,18.7,900
1102,Thorntonville ,75625,10.8,18.6,17.4,53.5,4.8,9.3,9.3,0.0,622,57,9.163987138263666,90.1,9.9,-
1103,Thrall ,63971,8.0,5.1,7.5,12.8,8.2,4.8,4.8,53.3,797,45,5.646173149309912,70.5,29.5,1118
1104,Three Rivers ,41520,32.4,37.7,34.1,44.0,30.1,38.3,38.3,26.3,1546,109,7.0504527813712805,55.2,44.8,908
1105,Throckmorton ,36000,7.9,19.3,13.4,20.3,7.9,20.8,20.8,0.0,540,42,7.777777777777778,67.0,33.0,-
1106,"Tiki Island village, Texas",112054,2.3,5.5,3.6,39.1,8.0,0.7,0.7,0.0,1196,31,2.591973244147157,82.5,17.5,1788
1107,"Timbercreek Canyon village, Texas",137857,0.0,4.5,3.1,0.0,8.2,4.5,4.5,0.0,522,12,2.2988505747126435,100.0,0.0,-
1108,Timpson ,37500,21.6,36.0,26.5,24.2,38.9,24.5,24.5,100.0,1204,170,14.119601328903656,56.7,43.3,575
1109,Tioga ,74091,7.4,9.7,9.6,31.6,11.6,7.0,7.0,65.4,1084,18,1.6605166051660518,71.8,28.2,1565
1110,Tira ,58906,9.9,21.9,11.3,10.0,9.3,24.5,24.5,-,440,26,5.909090909090909,83.2,16.8,810
1111,Toco ,56250,0.0,21.7,7.3,20.0,8.3,0.0,0.0,-,44,1,2.272727272727273,92.9,7.1,-
1112,Todd Mission ,135804,0.0,8.5,5.4,0.0,15.4,5.8,5.8,-,133,0,0.0,100.0,0.0,-
1113,Tolar ,89135,15.4,16.0,18.6,84.4,30.1,11.6,11.6,31.9,1324,135,10.196374622356496,79.1,20.9,1232
1114,Tomball ,70829,9.4,12.6,10.4,13.1,20.6,6.6,6.6,36.4,12171,728,5.981431271054145,49.0,51.0,1188
1115,Tom Bean ,75682,0.0,9.9,4.9,10.3,8.5,3.5,3.5,0.0,803,0,0.0,64.0,36.0,1152
1116,Tool ,65417,7.1,8.7,7.8,16.2,11.9,7.0,7.0,62.8,2315,103,4.449244060475162,83.2,16.8,1121
1117,Town of Pecos ,56058,20.7,19.2,17.8,14.8,20.3,21.6,21.6,1.1,10794,1205,11.163609412636651,71.7,28.3,950
1118,Toyah ,-,33.3,12.5,16.7,0.0,55.6,-,-,-,30,0,0.0,100.0,0.0,-
1119,Trent ,56875,4.5,13.7,10.2,35.3,6.3,6.0,6.0,0.0,249,5,2.0080321285140563,83.0,17.0,668
1120,Trenton ,62857,7.7,17.1,10.1,38.5,10.8,3.5,3.5,-,634,14,2.2082018927444795,78.5,21.5,729
1121,Trinidad ,32143,18.3,33.5,26.9,46.6,22.7,26.1,26.1,0.0,926,105,11.339092872570195,64.2,35.8,661
1122,Trinity ,35905,32.9,23.3,23.4,33.5,27.8,16.3,16.3,63.0,2392,551,23.035117056856187,54.0,46.0,753
1123,Trophy Club ,183125,1.7,3.5,2.8,0.0,5.4,3.6,3.6,20.3,13206,170,1.2872936543995155,91.2,8.8,1908
1124,Troup ,49063,24.7,38.8,21.9,55.0,26.1,10.4,10.4,39.1,2148,367,17.085661080074487,60.7,39.3,964
1125,Troy ,64694,7.2,11.8,7.6,9.2,13.3,4.9,4.9,12.5,2437,56,2.2979072630283133,71.7,28.3,1135
1126,Tulia ,29408,33.7,38.3,28.0,56.3,25.1,18.4,18.4,8.1,4023,630,15.659955257270694,61.4,38.6,739
1127,Turkey ,47000,9.4,17.6,11.5,11.5,9.1,7.5,7.5,80.0,292,25,8.561643835616438,69.6,30.4,425
1128,Tuscola ,56250,13.5,5.7,13.1,67.7,2.6,5.1,5.1,0.0,683,38,5.563689604685212,81.9,18.1,1152
1129,Tye ,50139,9.8,10.4,9.9,2.1,16.2,9.5,9.5,-,1079,36,3.3364226135310475,86.1,13.9,971
1130,Tyler ,63056,13.5,13.4,10.1,16.7,13.6,10.5,10.5,33.7,101364,7113,7.0172842429264835,54.9,45.1,1113
1131,Uhland ,76011,8.0,6.3,6.9,14.3,2.9,9.3,9.3,8.0,1929,74,3.8361845515811304,87.7,12.3,1240
1132,Uncertain ,60250,0.0,5.0,2.6,18.2,0.0,0.0,0.0,-,83,0,0.0,97.7,2.3,-
1133,Union Grove ,197083,3.1,14.2,2.4,5.1,2.0,0.0,0.0,0.0,844,69,8.175355450236967,89.0,11.0,1267
1134,Union Valley ,75000,13.6,17.0,16.9,0.0,30.0,20.2,20.2,-,533,3,0.5628517823639775,96.9,3.1,-
1135,Universal City ,71287,12.6,10.8,10.9,17.0,15.4,11.4,11.4,18.9,19703,1281,6.5015479876160995,55.7,44.3,1171
1136,University Park ,"250,000+",4.6,5.0,2.6,0.0,16.1,11.2,11.2,4.6,22207,846,3.8096095825640566,83.6,16.4,2686
1137,Uvalde ,47289,31.2,26.5,24.0,45.8,13.5,22.9,22.9,52.1,14691,1477,10.053774419712749,62.4,37.6,1061
1138,Valentine ,30403,23.1,0.0,10.9,0.0,-,20.7,20.7,-,110,12,10.909090909090908,100.0,0.0,-
1139,Valley Mills ,43000,12.4,8.0,13.2,6.2,24.9,10.0,10.0,0.0,1237,25,2.021018593371059,60.9,39.1,1137
1140,Valley View ,60556,4.0,9.7,8.5,5.6,8.6,10.5,10.5,-,805,20,2.484472049689441,82.8,17.2,967
1141,Van ,61506,14.6,19.7,13.9,60.2,11.7,6.9,6.9,34.9,2701,108,3.9985190670122175,69.7,30.3,1026
1142,Van Alstyne ,75882,0.0,2.3,2.0,0.0,0.0,1.0,1.0,-,4790,0,0.0,70.4,29.6,1178
1143,Van Horn ,37391,15.8,27.4,8.8,25.8,3.3,0.0,0.0,2.9,2060,43,2.087378640776699,73.2,26.8,918
1144,Vega ,71042,11.6,19.3,13.2,5.1,30.1,11.5,11.5,0.0,1022,127,12.426614481409,78.4,21.6,1103
1145,Venus ,94612,8.0,9.8,11.2,24.0,11.1,1.7,1.7,0.0,4180,72,1.7224880382775118,92.5,7.5,1442
1146,Vernon ,47528,20.8,14.3,15.1,27.4,19.8,6.6,6.6,44.1,9648,801,8.30223880597015,56.3,43.7,808
1147,Victoria ,64832,15.8,20.2,14.4,24.3,19.3,10.9,10.9,40.6,63824,3929,6.1559914765605415,60.8,39.2,1094
1148,Vidor ,56866,9.5,6.5,8.7,23.2,7.8,6.3,6.3,11.3,9584,301,3.140651085141903,73.8,26.2,791
1149,"Vinton village, Texas",61023,14.9,19.2,15.9,26.1,20.0,3.7,3.7,8.2,1718,61,3.5506402793946448,85.9,14.1,864
1150,"Volente village, Texas",132500,6.9,7.8,6.7,0.0,22.1,3.3,3.3,24.0,779,51,6.546854942233633,80.3,19.7,1315
1151,Von Ormy ,47750,16.5,15.2,12.7,14.5,16.0,11.2,11.2,27.3,1096,58,5.291970802919708,76.5,23.5,767
1152,Waco ,47421,23.4,26.0,15.2,28.1,20.1,14.3,14.3,43.2,131532,16279,12.376455919472068,47.3,52.7,1038
1153,Waelder ,59085,5.9,20.1,17.2,21.5,16.9,0.0,0.0,90.0,1061,96,9.048067860508954,69.2,30.8,850
1154,Wake Village ,65595,11.6,23.0,12.6,43.6,21.8,1.8,1.8,0.0,5909,619,10.47554577762735,55.6,44.4,916
1155,Waller ,36160,10.4,29.8,26.5,0.0,42.4,20.3,20.3,29.7,3242,450,13.880320789636027,28.8,71.2,1003
1156,Wallis ,38531,25.6,13.1,18.5,9.1,12.8,27.4,27.4,69.2,1337,229,17.12789827973074,58.7,41.3,700
1157,Walnut Springs ,35313,14.0,23.5,22.3,27.7,22.0,24.0,24.0,70.6,793,52,6.557377049180328,61.1,38.9,1090
1158,Warren City ,78958,13.6,13.4,16.7,28.6,18.2,22.6,22.6,0.0,378,22,5.82010582010582,69.7,30.3,1642
1159,Waskom ,47313,12.1,20.1,13.7,18.0,13.3,15.2,15.2,0.0,1682,89,5.291319857312723,81.3,18.7,1167
1160,Watauga ,88775,9.0,10.0,9.3,8.0,9.8,11.6,11.6,26.8,23355,835,3.5752515521301644,77.2,22.8,1744
1161,Waxahachie ,80044,8.9,9.6,7.7,18.9,10.5,6.8,6.8,14.4,40442,1420,3.511201226447752,60.2,39.8,1387
1162,Weatherford ,78765,6.5,11.2,8.7,21.1,13.7,7.2,7.2,19.7,30462,988,3.243385201234325,65.1,34.9,1350
1163,"Webberville village, Texas",69632,6.0,3.8,4.9,12.5,7.9,4.0,4.0,0.0,497,16,3.2193158953722336,80.3,19.7,850
1164,Webster ,58555,9.3,12.6,8.7,16.9,12.3,7.4,7.4,21.9,11905,599,5.031499370012599,16.3,83.7,1249
1165,Weimar ,60697,8.5,5.4,9.0,33.6,8.1,2.5,2.5,0.0,2704,43,1.5902366863905326,75.1,24.9,521
1166,Weinert ,45893,13.3,20.2,13.0,35.0,10.7,6.3,6.3,0.0,169,9,5.325443786982249,66.7,33.3,-
1167,Weir ,88250,3.7,7.5,3.6,15.9,0.0,0.0,0.0,-,429,18,4.195804195804196,87.1,12.9,-
1168,Wellington ,46439,26.6,30.2,22.1,15.1,26.0,34.4,34.4,14.8,2124,222,10.451977401129943,73.9,26.1,534
1169,Wellman ,112941,2.4,2.0,2.2,6.1,0.0,0.0,0.0,-,234,0,0.0,77.1,22.9,479
1170,Wells ,63182,29.1,38.1,25.2,31.0,19.7,22.7,22.7,80.0,698,127,18.19484240687679,58.7,41.3,725
1171,Weslaco ,53517,21.0,28.1,20.8,39.7,17.7,21.0,21.0,39.7,40362,4438,10.995490808185918,59.5,40.5,884
1172,West ,51875,18.6,13.3,13.6,28.7,12.0,10.6,10.6,0.0,2390,134,5.606694560669457,60.4,39.6,898
1173,Westbrook ,-,0.0,0.8,0.6,-,0.0,3.3,3.3,-,302,0,0.0,92.4,7.6,-
1174,West Columbia ,70086,6.1,11.3,6.6,18.7,0.0,4.6,4.6,0.0,3637,219,6.021446246906791,63.8,36.2,972
1175,Westlake ,"250,000+",10.3,9.6,11.5,59.1,24.6,7.3,7.3,58.3,1300,109,8.384615384615385,97.5,2.5,-
1176,West Lake Hills ,210000,10.4,6.5,5.4,0.0,14.1,16.7,16.7,0.0,3304,233,7.052058111380146,88.2,11.8,1566
1177,Weston ,83750,14.8,10.2,7.7,0.0,22.2,0.0,0.0,0.0,230,1,0.43478260869565216,75.9,24.1,1091
1178,Weston Lakes ,125038,2.8,4.0,4.0,27.4,0.0,6.5,6.5,0.0,3907,71,1.817251087791144,100.0,0.0,-
1179,West Orange ,63409,19.7,11.7,4.6,7.5,3.9,6.1,6.1,80.8,3428,467,13.623103850641774,75.1,24.9,1268
1180,Westover Hills ,"250,000+",6.5,3.2,1.9,-,0.0,9.4,9.4,0.0,803,40,4.9813200498132,89.8,10.2,2237
1181,West Tawakoni ,54154,20.0,24.4,14.9,21.9,15.2,6.2,6.2,50.8,1825,168,9.205479452054794,75.9,24.1,1144
1182,West University Place ,"250,000+",0.9,2.5,1.3,0.0,12.4,3.1,3.1,3.1,14963,95,0.6348994185657956,92.6,7.4,"3,500+"
1183,Westworth Village ,72865,21.3,17.5,11.1,40.6,16.2,5.1,5.1,43.3,2597,66,2.5413939160569887,46.6,53.4,1666
1184,Wharton ,37722,13.7,27.6,22.9,41.7,28.5,7.9,7.9,42.7,8313,695,8.360399374473717,45.2,54.8,784
1185,Wheeler ,56250,16.2,20.7,13.1,29.1,16.6,7.9,7.9,20.5,1391,145,10.424155283968368,70.1,29.9,965
1186,White Deer ,113173,3.1,14.6,7.7,20.8,15.4,0.0,0.0,70.6,914,29,3.1728665207877462,83.6,16.4,793
1187,Whiteface ,52813,6.3,22.3,10.7,4.5,18.3,13.5,13.5,0.0,423,34,8.037825059101655,80.4,19.6,738
1188,Whitehouse ,72900,8.3,15.6,11.3,31.3,10.3,14.7,14.7,46.9,8491,552,6.501001059945826,71.0,29.0,1585
1189,White Oak ,94273,8.3,11.8,8.9,2.3,15.4,8.6,8.6,2.3,6200,604,9.741935483870968,69.9,30.1,1107
1190,Whitesboro ,72092,7.0,8.8,8.6,3.3,12.0,8.7,8.7,0.0,4048,98,2.4209486166007905,63.7,36.3,1046
1191,White Settlement ,52999,7.9,12.4,11.1,18.4,11.5,10.5,10.5,20.9,17592,845,4.8033196907685305,60.1,39.9,1185
1192,Whitewright ,47370,15.2,23.1,17.3,40.2,19.3,14.7,14.7,21.6,1609,129,8.017402113113734,63.5,36.5,714
1193,Whitney ,39215,23.3,31.2,18.8,16.6,22.3,19.3,19.3,18.8,2145,182,8.484848484848486,52.5,47.5,821
1194,Wichita Falls ,55584,15.3,20.1,13.6,31.5,18.3,9.9,9.9,33.0,90494,7854,8.679028443874733,56.3,43.7,949
1195,Wickett ,54851,2.1,3.5,5.0,0.0,2.6,14.8,14.8,0.0,615,0,0.0,88.1,11.9,750
1196,Willis ,55876,5.9,9.5,7.6,10.2,5.3,4.6,4.6,0.0,6483,277,4.272713250038562,61.0,39.0,1307
1197,Willow Park ,104931,5.3,13.3,9.9,0.0,1.3,19.6,19.6,0.0,4975,485,9.748743718592964,86.3,13.7,2303
1198,Wills Point ,55100,22.3,28.9,20.6,59.0,10.2,7.2,7.2,33.3,3679,250,6.79532481652623,51.6,48.4,848
1199,Wilmer ,63003,24.5,12.0,17.0,23.6,18.7,10.3,10.3,33.9,5079,169,3.3274266587911008,64.7,35.3,1199
1200,Wilson ,37500,14.4,45.5,15.2,32.3,22.0,0.0,0.0,0.0,450,46,10.222222222222223,67.5,32.5,841
1201,Wimberley ,92868,9.4,6.4,6.5,51.1,1.7,2.0,2.0,0.0,2691,72,2.6755852842809364,71.5,28.5,697
1202,Windcrest ,85984,14.8,10.9,7.8,9.6,17.2,9.2,9.2,0.0,5688,200,3.5161744022503516,89.5,10.5,1334
1203,Windom ,60000,10.3,9.5,5.6,0.0,10.3,0.0,0.0,33.3,100,2,2.0,78.0,22.0,-
1204,Windthorst ,34583,17.7,22.2,14.8,10.2,28.0,0.0,0.0,-,334,29,8.682634730538922,85.8,14.2,900
1205,Winfield ,73125,6.7,29.9,11.4,16.1,6.8,13.1,13.1,11.1,528,31,5.871212121212121,76.0,24.0,708
1206,Wink ,111417,6.0,12.3,5.6,12.5,3.3,7.4,7.4,-,978,31,3.1697341513292434,84.0,16.0,183
1207,Winnsboro ,53983,14.9,15.6,16.0,47.0,28.1,6.3,6.3,10.7,3240,213,6.5740740740740735,57.0,43.0,964
1208,Winona ,50350,8.5,11.8,10.5,8.1,8.2,11.9,11.9,57.1,580,23,3.9655172413793105,54.6,45.4,1028
1209,Winters ,44426,11.8,24.3,15.9,29.8,15.8,6.5,6.5,0.0,2353,234,9.94475138121547,75.1,24.9,658
1210,Wixon Valley ,115417,1.8,2.4,2.1,0.0,0.0,2.3,2.3,0.0,195,4,2.051282051282051,93.5,6.5,-
1211,Wolfe City ,46378,15.2,19.7,15.0,31.0,16.5,8.0,8.0,37.5,1219,83,6.808859721082855,70.4,29.6,962
1212,Wolfforth ,100703,3.6,7.6,4.8,4.9,6.7,6.9,6.9,14.1,5776,56,0.9695290858725761,78.9,21.1,1388
1213,Woodbranch ,79375,39.4,16.2,16.1,22.8,17.3,18.4,18.4,9.7,1614,28,1.734820322180917,92.1,7.9,1420
1214,Woodcreek ,80227,3.5,2.9,2.7,0.0,4.1,4.9,4.9,19.2,2389,67,2.804520719966513,60.9,39.1,1745
1215,Woodloch ,90000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,153,0,0.0,76.7,23.3,1875
1216,Woodsboro ,57143,0.0,2.6,1.9,0.0,4.7,0.0,0.0,0.0,1227,16,1.3039934800325998,80.8,19.2,919
1217,Woodson ,62813,13.4,42.0,15.7,22.2,9.8,34.0,34.0,-,391,3,0.7672634271099744,62.1,37.9,772
1218,Woodville ,42778,17.7,11.9,13.4,4.1,26.4,8.9,8.9,11.4,2876,228,7.927677329624479,47.9,52.1,941
1219,Woodway ,111014,2.8,5.0,1.8,5.9,7.0,4.1,4.1,37.4,9288,155,1.668819982773471,87.8,12.2,1720
1220,Wortham ,42574,20.3,18.5,19.7,12.0,22.4,21.1,21.1,-,1166,77,6.60377358490566,57.2,42.8,844
1221,Wylie ,109465,6.3,5.2,4.8,19.3,3.5,4.1,4.1,1.3,56860,1878,3.302849103060148,76.7,23.3,1844
1222,Yantis ,40000,14.9,27.7,19.6,25.0,18.3,12.5,12.5,0.0,287,14,4.878048780487805,66.9,33.1,775
1223,Yoakum ,44627,12.1,16.2,10.7,15.2,12.4,3.0,3.0,0.0,5660,484,8.551236749116606,68.0,32.0,849
1224,Yorktown ,66125,17.2,19.1,20.0,47.9,29.4,1.2,1.2,77.2,2109,76,3.6036036036036037,73.9,26.1,836
1225,Zavalla ,-,22.7,26.0,17.9,47.0,7.6,17.5,17.5,33.3,606,90,14.85148514851485,77.4,22.6,850
