,City,Median_Household_Income,Percent_Male,Percent_Female,Percent_over_25y,Percent_HS_less,Percent_HS,Percent_Some_Col_Assoc,Percent_BS_over,Percent_unemployed,Population,Population_Below_Poverty,Poverty_Rate,Percent_Owner_Occ,Percent_Renter_Occ,Median_Rent
971,"Salado village, Texas",89348,3.8,10.6,8.3,28.9,10.4,8.3,8.3,0.0,2585,124,4.796905222437138,82.7,17.3,1029
972,San Angelo ,65040,9.6,14.0,9.1,18.9,11.0,9.1,9.1,28.8,93920,5790,6.164821124361159,64.0,36.0,1037
973,San Antonio ,59593,16.4,19.0,14.0,28.3,17.6,11.5,11.5,30.5,1420815,112705,7.932419069336966,51.9,48.1,1189
974,San Augustine ,24628,30.5,33.2,27.5,33.2,30.7,23.4,23.4,19.0,1698,299,17.608951707891638,43.5,56.5,747
975,San Benito ,38100,31.7,27.9,23.0,33.4,25.0,16.9,16.9,48.4,24411,3141,12.867150055302936,68.1,31.9,866
976,Sanctuary ,108750,10.4,7.1,8.4,29.4,9.6,5.2,5.2,33.3,251,17,6.772908366533864,86.6,13.4,975
977,San Diego ,46620,8.4,26.7,10.9,20.2,13.7,6.2,6.2,0.0,3613,336,9.299750899529476,79.7,20.3,1093
978,Sandy Oaks ,51949,15.0,19.8,10.6,26.8,9.3,5.3,5.3,26.6,5097,127,2.491661761820679,93.8,6.3,1125
979,Sandy Point ,80625,13.8,4.3,13.0,22.2,4.0,25.0,25.0,0.0,179,8,4.4692737430167595,77.6,22.4,675
980,San Elizario ,46486,27.6,29.4,22.5,30.5,25.9,7.5,7.5,53.6,10066,1118,11.106695807669382,64.7,35.3,853
981,San Felipe ,54013,19.7,25.7,18.3,14.9,36.1,0.0,0.0,0.0,1037,4,0.3857280617164899,85.1,14.9,1363
982,Sanford ,38438,93.2,57.1,68.8,72.7,61.1,73.7,73.7,100.0,101,44,43.56435643564357,95.2,4.8,-
983,Sanger ,86083,3.2,7.1,5.7,6.9,8.5,3.8,3.8,39.1,9020,245,2.7161862527716183,73.9,26.1,1247
